,Name,Type,Time,Contact,Province,City,Address,Competive,Coach,Scale,Fee,Lon,Lat,Others
1,北京工业大学 Chasers 飞盘社,学校队伍,,微信号：gh_fee3399d8f56,北京,北京市,北京工业大学,是,,,,116.4755159,39.87411856,无
2,北京大学白豆腐皮飞盘协会,学校队伍,,公众号： PKU Frisbee / 联系人微信号：zjc20020312,北京,北京市,北京大学,是,,,,116.3509987,39.75713112,无
3,北京理工大学 BIT 北理飞盘队,学校队伍,,微信号：gh_5eaa3e6af36d,北京,北京市,北京理工大学,是,,,,116.0790155,39.72060407,无
4,清华大学学生飞盘协会,学校队伍,,微信号: THU-Frisbee,北京,北京市,清华大学,是,,,,116.3195457,40.00046271,无
5,北京体育大学 BFC 体大飞盘社,学校队伍,,微信号: BFC-BFC,北京,北京市,北京体育大学,是,,,,116.312974,40.02243802,无
6,北京交通大学 BJTU 极限飞盘协会,学校队伍,,微信号: UltimateFrisbee_BJTU,北京,北京市,北京交通大学,是,,,,116.3411598,39.94591293,无
7,北京航空航天大学 BUAA Frisbee 极限飞盘社,学校队伍,,微信号: BUAA_Frisbee,北京,北京市,北京航空航天大学,是,,,,116.340297,39.97785046,无
8,北京语言大学 Bloomfield 北语飞盘社,学校队伍,,公众号：北语飞盘Bloomfield,北京,北京市,北京语言大学,是,,,,116.3401158,39.99361552,无
9,北方工业大学飞盘协会,学校队伍,,无,北京,北京市,北方工业大学,是,,,,116.2021855,39.92678351,CUUA 有登记队伍 但是没找到相关信息
10,对外经济贸易大学 Bazinga 极限飞盘协会,学校队伍,,无,北京,北京市,对外经济贸易大学,是,,,,116.421605,39.97905285,归属学生会没找到公众号
11,中央民族大学 Airkazakh 民大飞盘社,学校队伍,,微信号: MUC_AirKazakh,北京,北京市,中央民族大学,是,,,,116.3144497,39.94951256,无
12,北京邮电 DiscUp飞盘社,学校队伍,,公众号：北邮DiscUp飞盘社,北京,北京市,北京邮电大学,是,,,,116.3519428,39.95822128,无
13,北京外国语 Nocture飞盘队,学校队伍,,队长微信：15311417903 公号：BFSU Ultimate Frisbee,北京,北京市,北京外国语大学,是,,,,116.312879,39.955148,无
14,京妞,女子队伍,2016,小红书：北京京妞儿女子飞盘俱乐部联系人微信号：R19971115,北京,北京市,八喜联合竞技俱乐部足球场,是,coach：cchow  在大哥 京妞打比赛，盘龄10+年,20人左右，欢迎更多选手加入,平摊场地费，具体取决于来的人数。,116.504686,39.954356,
15,伙伴俱乐部五仁飞盘队,混合/公开,2021.11,小红书：孙蹲蹲265345455,北京,北京市,北京朝阳区东枫国际体育园,否,,30人,100,116.469083,39.936691,
16,伙伴俱乐部,混合/公开,2021.2,公众号：伙伴俱乐部小红书：伙伴俱乐部微信：kpjdgy,北京,北京市,东枫国际体育园（室外）,否,总教练：张坤教练员：志夫、Terrence等,截止2022年1月，群内共七百余人，增长中。,根据活动时间、地点、内容而定。,116.469083,39.936691,
17,伙伴俱乐部,混合/公开,2021.2,公众号：伙伴俱乐部小红书：伙伴俱乐部微信：kpjdgy,北京,北京市,方庄体育公园（室内/室外）,否,总教练：张坤教练员：志夫、Terrence等,截止2022年1月，群内共七百余人，增长中。,根据活动时间、地点、内容而定。,116.428442,39.867123,
18,伙伴俱乐部,混合/公开,2021.2,公众号：伙伴俱乐部小红书：伙伴俱乐部微信：kpjdgy,北京,北京市,广渠路数字空间篮球馆（室内）,否,总教练：张坤教练员：志夫、Terrence等,截止2022年1月，群内共七百余人，增长中。,根据活动时间、地点、内容而定。,116.511702,39.885472,
19,伙伴俱乐部,混合/公开,2021.2,公众号：伙伴俱乐部小红书：伙伴俱乐部微信：kpjdgy,北京,北京市,798室内足球场（室内）,否,总教练：张坤教练员：志夫、Terrence等,截止2022年1月，群内共七百余人，增长中。,根据活动时间、地点、内容而定。,116.503939,39.979506,
