,Name,UniversityName,City,Province,Contact,Others,Lat,Lon
1,北京工业大学 Chasers 飞盘社,北京工业大学,北京市,北京,微信号：gh_fee3399d8f56,无,39.87411856,116.4755159
2,北京大学白豆腐皮飞盘协会,北京大学,北京市,北京,公众号： PKU Frisbee / 联系人微信号：zjc20020312,无,39.75713112,116.3509987
3,北京理工大学 BIT 北理飞盘队,北京理工大学,北京市,北京,微信号：gh_5eaa3e6af36d,无,39.72060407,116.0790155
4,清华大学学生飞盘协会,清华大学,北京市,北京,微信号: THU-Frisbee,无,40.00046271,116.3195457
5,北京体育大学 BFC 体大飞盘社,北京体育大学,北京市,北京,微信号: BFC-BFC,无,40.02243802,116.312974
6,北京交通大学 BJTU 极限飞盘协会,北京交通大学,北京市,北京,微信号: UltimateFrisbee_BJTU,无,39.94591293,116.3411598
7,北京航空航天大学 BUAA Frisbee 极限飞盘社,北京航空航天大学,北京市,北京,微信号: BUAA_Frisbee,无,39.97785046,116.340297
8,北京语言大学 Bloomfield 北语飞盘社,北京语言大学,北京市,北京,公众号：北语飞盘Bloomfield,无,39.99361552,116.3401158
9,北方工业大学飞盘协会,北方工业大学,北京市,北京,无,CUUA 有登记队伍 但是没找到相关信息,39.92678351,116.2021855
10,对外经济贸易大学 Bazinga 极限飞盘协会,对外经济贸易大学,北京市,北京,无,归属学生会没找到公众号,39.97905285,116.421605
11,中央民族大学 Airkazakh 民大飞盘社,中央民族大学,北京市,北京,微信号: MUC_AirKazakh,无,39.94951256,116.3144497
12,北京邮电 DiscUp飞盘社,北京邮电大学,北京市,北京,公众号：北邮DiscUp飞盘社,无,39.95822128,116.3519428
13,北京外国语 Nocture飞盘队,北京外国语大学,北京市,北京,队长微信：15311417903 公号：BFSU Ultimate Frisbee,无,39.955148,116.312879
14,天津体育学院 Speed 极速飞盘队,天津体育学院,天津市,天津,公众号：天体极限飞盘SPEEDultimate小红书:天体speed飞盘 队伍联系人微信号: act-47378,无,39.07430627,117.1874717
15,南开大学飞盘协会,南开大学,天津市,天津,小红书：南开大学飞盘社（5277093366）微信：15620368461,无,39.08349005,117.1867643
16,天津大学 TJU 极限飞盘队,天津大学,天津市,天津,联系人（小七SeveN）：18950235370,无,39.10950403,117.17474
17,天津工业大学SKY极限飞盘协会,天津工业大学,天津市,天津,微信：15764431917/公众号：天津工业大学极限飞盘协会/小红书：工大飞盘,无,39.0643465,117.1082331
18,天津城建大学飞盘协会,天津城建大学,天津市,天津,无,CUUA 说有，但我没查到。,39.09378899,117.0890125
19,医路飞,河北医科大学,石家庄市,河北,公众号：河北医大校园体育最前线,无,38.04563534,114.5352943
20,华北电力大学飞盘协会,华北电力大学,保定市,河北,无,校内飞盘课程,38.87759222,115.5056788
21,河北传媒学院飞盘协会,河北传媒学院,石家庄市,河北,无,校内飞盘课程,38.15259372,114.4580061
22,内蒙古科技大学内科大极限飞盘协会,内蒙古科技大学,包头市,内蒙古,无,CUUA 里有写但是没找到信息,40.61927561,109.8270574
23,沈体 strike 飞盘队,沈阳体育学院,沈阳市,辽宁,微信号：STrike-2021 微信13032428021,无,41.84031881,123.4364975
24,大连理工大学极限飞盘社（蓝精灵）研究生分部,大连理工大学,大连市,辽宁,公众号：大工飞盘/大工研究生极限飞盘B站：大工飞盘,无,38.88056472,121.5290317
25,大连理工大学极限飞盘社（蓝精灵）,大连理工大学,大连市,辽宁,公众号：大工飞盘/大工研究生极限飞盘B站：大工飞盘,无,41.72474799,121.5290317
26,辽宁科技大学飞盘协会,辽宁科技大学,鞍山市,辽宁,无,无,41.10577287,123.0580689
27,鞍山师范学院飞盘协会,鞍山师范学院,鞍山市,辽宁,无,有消息说只有一个人在玩，没有队伍,41.07460759,122.9903356
28,大连财经学院飞盘协会,大连财经学院,大连市,辽宁,无,有飞盘队，没找到公众号,39.08610486,121.8268398
29,大连海事大学DMU飞盘队,大连海事大学,大连市,辽宁,微信号：gh_b67b1e6b2c9b,无,38.87035812,121.5271325
30,大连艺术学院大艺凤凰飞盘队,大连艺术学院,大连市,辽宁,公众号：大艺凤凰飞盘   小红书：飞盘新光,无,39.09768968,121.82915
31,大连科技 Seagulls 飞盘队,大连科技学院,大连市,辽宁,微信号：gh_d123b1b49360,无,38.78128176,121.1498593
32,沈阳工业大学飞盘协会,沈阳工业大学,沈阳市,辽宁,无,无,41.7338081,123.24338
33,辽宁对外经贸飓风 Hurricane 飞盘俱乐部,辽宁对外经贸学院,大连市,辽宁,俱乐部联系人微信号：l2453570581,无,38.81684864,121.1578046
34,通化师范学院飞盘队,通化师范学院,通化市,吉林,微信：lihaiyang8899_,无,41.74868908,125.9859342
35,通化师范学院飞盘协会,通化师范学院,通化市,吉林,无,无,41.746329,125.988454
36,哈尔滨工程大学One piece飞盘社,哈尔滨工程大学,哈尔滨市,黑龙江,无,没找到公众号,45.773454,126.6640617
37,哈尔滨工业大学飞盘协会,哈尔滨工业大学,哈尔滨市,黑龙江,无,CUUA 说有没找到信息,45.74720829,126.633495
38,哈尔滨理工 Catcher22 飞盘队,哈尔滨理工大学,哈尔滨市,黑龙江,李维东 | 微信号：c8-louis,无,45.71309572,126.6106943
39,绥化学院飞盘协会,绥化学院,绥化市,黑龙江,无,无,46.62210388,126.9715367
40,同济 tjuf 飞盘队,同济大学,上海市,上海,公众号：同济飞盘联系人微信：cyj2532309190,无,31.26295036,121.4598868
41,复旦大学飞盘协会,复旦大学,上海市,上海,微信号：fdu_ultimate,无,31.29365392,121.4980327
42,上海对外经贸大学飞盘协会,上海对外经贸大学,上海市,上海,公众号：上经贸大飞盘小红书：上经贸大飞盘俱乐部俱乐部联系人微信号：b844053524,无,31.20720933,121.4008939
43,上海工程技术大学飞盘协会,上海工程技术大学,上海市,上海,无,无,31.20545298,121.3970132
44,上海科技大学飞盘协会,上海科技大学,上海市,上海,微信号：gh_52ffaf9abe0a（公众号名称：可积飞盘Corgi）,无,31.17650259,121.5924947
45,上海交通大学飞盘协会,上海交通大学,上海市,上海,微信号: sjtufrisbee,无,31.19644082,121.4223504
46,华东政法 ECUPL 飞盘队,华东政法大学,上海市,上海,公众号：Ecupl飞飞飞飞盘社联系人微信号：littletz/xxl13369981609,无,31.22189996,121.4147763
47,华东师范 TwinS 幻狮飞盘队,华东师范大学,上海市,上海,微信号：gh_a89f7e133dac（公众号名称：ECNU极限飞盘）,无,31.2276945,121.4069363
48,上海大学飞盘协会,上海大学,上海市,上海,公众号：上海大学极限飞盘／小红书：上海大学极限飞盘／俱乐部联系人微信号：cy13925454109,无,31.3171223,121.3891637
49,上海健康医学院 SUMHS 极限飞盘队,上海健康医学院,上海市,上海,微信号：SUMHS-UTF,无,31.09989095,121.6080245
50,上海海洋大学飞盘队,上海海洋大学,上海市,上海,校内体育课,无,30.882894,121.89691
51,上海体育学院飞盘队,上海体育学院,上海市,上海,校内体育课,无,31.312332,121.525343
52,中央美院上海分院飞盘队,中央美院上海分院,上海市,上海,校内体育课,无,30.881952,121.932291
53,猎户座极限飞盘社,南京体育学院,南京市,江苏,无,无,32.04607822,118.8619015
54,Sipo,西交利物浦,苏州市,江苏,微信号：gh_52d46e33232c（公众号名称：西浦飞盘SIPOultimate）,无,31.27499621,120.7381262
55,常熟理工学院飞盘协会,常熟理工学院,苏州市,江苏,无,无,31.5891888,120.7704561
56,南信大极限飞盘社,南京信息工程大学,南京市,江苏,无,公众号归属学校,32.20540892,118.7100235
57,南京邮电 Postman 极限飞盘社,南京邮电大学,南京市,江苏,小红书：南邮Postman极限飞盘协会，公众号：Postman极限飞盘,无,32.08484207,118.7656015
58,南京师范 Phoenix 极限飞盘社,南京师范大学,南京市,江苏,微信号：gh_bd1c0662090a（公众号名称：南师大极限飞盘社）,无,32.106838,118.91025
59,河海大学飞盘协会,河海大学,南京市,江苏,微信号：gh_0d108ee21004（公众号名称：河海极限飞盘）,无,31.9164125,118.7806878
60,南京大学飞盘协会,南京大学,南京市,江苏,无,无,32.0585817,118.7847813
61,南京医科大学 NMU 极限飞盘社,南京医科大学,南京市,江苏,微信号：NMU-ULTIMATE,无,32.04400058,118.7747737
62,苏州大学飞盘协会,苏州大学,苏州市,江苏,微信号：SUDA_ULTIMATE,无,31.27458018,120.7262026
63,锡职 INFINITY 飞盘队,无锡职业技术学院,无锡市,江苏,微信号：WXITUltimateFrisbee,无,31.5423269,120.2900355
64,江南大学极限飞盘协会,江南大学,无锡市,江苏,微信号: JUUF2018,无,31.47656528,120.2682501
65,宁波 UFO / Flamingirls,宁波诺丁汉大学,宁波市,浙江,微信号：ningboUFO,无,29.80263998,121.5582274
66,浙江理工 flytop 飞盘队,浙江理工大学,杭州市,浙江,公众号：flytop极限飞盘,无,30.31549297,120.3486586
67,浙江金融职业学院飞盘协会,浙江金融职业学院,杭州市,浙江,微信号：trylayout,无,30.32198128,120.3785628
68,中国计量 neverdrop 飞盘队,中国计量大学,杭州市,浙江,微信号：gh_bc14a44a6ebc（公众号名称：NeverDrop飞盘俱乐部）,无,30.32203073,120.3714589
