Name,Type,Time,Contact,Province,City,Adress,Competive,Coach,Scale,Fee,lng,Lat
京妞,女子,2016,小红书：北京京妞儿女子飞盘俱乐部联系人微信号：R19971115,北京,北京市,八喜联合竞技俱乐部足球场,A.是,coach：cchow  在大哥 京妞打比赛，盘龄10+年,20人左右，欢迎更多选手加入,平摊场地费，具体取决于来的人数。,116.504686,39.954356
大哥飞盘,混合/公开,2006,公众号：大哥飞盘,北京,北京市,北京奥体中心,A.是,,,,116.399334,39.983656
北京D-FLY俱乐部,混合/公开,2018,北京极限飞盘/小红书：北京 D-FLY 飞盘俱乐部,北京,北京市,爱踢客青年足球俱乐部,A.是,有教练组,100—200人,,116.514579,39.972445
北京D-FLY俱乐部,混合/公开,2018,北京极限飞盘/小红书：北京 D-FLY 飞盘俱乐部,北京,北京市,首体北校区足球场,A.是,有教练组,100—200人,,116.34324,39.975401
桃罐头,混合/公开,2019.5,俱乐部联系人微信号：Moe00Mo,北京,北京市,陶凤缘黄桃罐头商店,A.是,,30人左右,无,116.333715,39.802876
GYMGANG飞盘队,混合/公开,2021.9,小红书：Gym Gang飞盘队,北京,北京市,东枫国际体育场路/北京市朝阳区农展馆南路甲9号,A.是,董天祺，北京大哥队精神队长，盘龄5年,30,无，需邀约制入队考试。,116.469083,39.936691
伙伴俱乐部,混合/公开,2021.2,公众号：伙伴俱乐部小红书：伙伴俱乐部微信：kpjdgy,北京,北京市,东枫国际体育园（室外）,B.否,总教练：张坤教练员：志夫、Terrence等,截止2022年1月，群内共七百余人，增长中。,根据活动时间、地点、内容而定。,116.469083,39.936691
伙伴俱乐部,混合/公开,2021.2,公众号：伙伴俱乐部小红书：伙伴俱乐部微信：kpjdgy,北京,北京市,方庄体育公园（室内/室外）,B.否,总教练：张坤教练员：志夫、Terrence等,截止2022年1月，群内共七百余人，增长中。,根据活动时间、地点、内容而定。,116.428442,39.867123
伙伴俱乐部,混合/公开,2021.2,公众号：伙伴俱乐部小红书：伙伴俱乐部微信：kpjdgy,北京,北京市,广渠路数字空间篮球馆（室内）,B.否,总教练：张坤教练员：志夫、Terrence等,截止2022年1月，群内共七百余人，增长中。,根据活动时间、地点、内容而定。,116.511702,39.885472
伙伴俱乐部,混合/公开,2021.2,公众号：伙伴俱乐部小红书：伙伴俱乐部微信：kpjdgy,北京,北京市,798室内足球场（室内）,B.否,总教练：张坤教练员：志夫、Terrence等,截止2022年1月，群内共七百余人，增长中。,根据活动时间、地点、内容而定。,116.503939,39.979506
